,ID,World,Date,Important Trigger,Death,Description,Characters

,20,Martha,08-11-2019,FALSE,FALSE,Teen Jonas and Martha travel to 1986.,"Jonas Kahnwald / Adam (J), Martha Nielsen / Eve (M)"
,21,Martha,08-11-2019,FALSE,FALSE,Teen Jonas finds Martha.,"Jonas Kahnwald / Adam (J), Martha Nielsen / Eve (M)"
,22,Martha,08-11-2019,FALSE,FALSE,Adam and teen Jonas arrives to martha's world. Adam gives Jonas the time machine and explains his next step.,Jonas Kahnwald / Adam (J)

,25,Martha,08-11-2052,FALSE,FALSE,Adam visits Eve headquarters.,"Martha Nielsen / Eve (M), Jonas Kahnwald / Adam (J)"
,26,Martha,08-11-2052,FALSE,FALSE,Eve expects Adam to kill her but Adam has removed the cartidges from his gun.,"Martha Nielsen / Eve (M), Jonas Kahnwald / Adam (J)"
,27,Martha,08-11-2052,FALSE,FALSE,"Instead of killing her, Adam takes Eve's hand. they hope that Jonas and Martha fulfill their mission.","Martha Nielsen / Eve (M), Jonas Kahnwald / Adam (J)"

,33,Martha,21-06-1985,FALSE,FALSE,The unknown trio break into the power plant.,Unknown
,34,Martha,22-06-1985,FALSE,FALSE,"They enter the volume control room in both worlds and simultaneously open a valve, triggering an accident.",Unknown
,35,Martha,23-06-1985,TRUE,FALSE,An explosion at the power plant causes the leak of radioactive material.,Unknown


,15,Martha,21-06-1986,FALSE,FALSE,Martha and Jonas enter the bridge.,"Martha Nielsen / Eve (M), Jonas Kahnwald / Adam (J)"
,16,Martha,21-06-1986,FALSE,FALSE,Teen Jonas and Martha arrive to 1986.,"Jonas Kahnwald / Adam (J), Martha Nielsen / Eve (M)"
,17,Martha,21-06-1986,FALSE,FALSE,Teen Jonas explains Martha that they are the glitch in the matrix.,"Jonas Kahnwald / Adam (J), Martha Nielsen / Eve (M)"
,18,Martha,21-06-1986,FALSE,FALSE,Teen Jonas and Martha enter the caves and wait for the bridge that will lead them to the origin world.,"Jonas Kahnwald / Adam (J), Martha Nielsen / Eve (M)"
,19,Martha,21-06-1986,FALSE,FALSE,The bridge opens.,"Jonas Kahnwald / Adam (J), Martha Nielsen / Eve (M)"
,36,Martha,09-10-1986,FALSE,FALSE,Mads Nielsen goes missing.,Mads Nielsen (M)
